Number,Region,Name,Type 1,Type 2,HP,Attack,Defence,Sp Attack,Sp Defence,Speed,Move 1,Move 2,Move 3,Move 4,Description
241,Johto,Miltank,Normal,,155,80,105,40,70,100,Tackle,Defence Curl,Body Slam,Rollout,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead. 
242,Johto,Blissey,Normal,,315,10,10,75,135,55,Pound,Defence Curl,Double-Edge,Egg Bomb,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face. "
243,Johto,Raikou,Electric,,150,85,75,115,100,115,Bite,Thunder Shock,Calm Mind,Thunder,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down. 
244,Johto,Entei,Fire,,175,115,85,90,75,100,Bite,Flamethrower,Calm Mind,Fire Blast,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch. 
245,Johto,Suicune,Water,,160,75,115,90,115,85,Bite,Aurora Beam,Calm Mind,Blizzard,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water. 
246,Johto,Larvitar,Rock,Ground,110,64,50,45,50,41,Bite,Leer,,,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents. "
247,Johto,Pupitar,Rock,Ground,130,84,70,65,70,51,Bite,Leer,Stone Edge,,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable--it avoids damage even if it hits solid steel. 
248,Johto,Tyranitar,Rock,Dark,160,134,110,95,100,61,Bite,Leer,Stone Edge,Earthquake,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight. "
249,Johto,Lugia,Psychic,Flying,166,90,130,90,154,110,Gust,Extrasensory,Calm Mind,Hydro Pump,"Lugia's wings pack devastating power - a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea. "
250,Johto,Ho-Oh,Fire,Flying,166,130,90,110,154,90,Gust,Ancient Power,Calm Mind,Fire Blast,Ho-Oh's feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow. 
251,Johto,Celebi,Psychic,Grass,160,100,100,100,100,100,Confusion,Recover,Ancient Power,Leaf Storm,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us. "
